Time,Device ID,Visible Light (lm),UV (UV Index),CO2 (ppm),Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (m/s),Wind Dir,Wind Dir (Degrees)
8/15/2021 17:58:07,mote1,55,0,765.2,31,69,0,0,5,110
8/15/2021 22:08:44,mote5,10,0,199.4,25.9,84.5,0,0.581152,4,235
8/15/2021 22:52:56,mote4,12,0,427.8,25.9,86,0,0,8,40
8/16/2021 0:08:45,mote5,12,0,225.6,25.5,89.5,0,1.922272,3,190
8/16/2021 0:53:10,mote4,12,0,399.4,25.6,87.5,0,0.581152,8,40
8/16/2021 1:49:45,mote3,9,0,625.7,25,88.5,0,0,6,145
8/16/2021 3:58:09,mote1,10,0,742.7,25.3,91.5,0,0,5,110
8/16/2021 4:08:52,mote5,9,0,226.5,25.6,89,0,0,1,100
8/16/2021 4:53:04,mote4,12,0,407.8,25.8,88.5,2.54,0.134112,8,40
8/16/2021 4:57:27,mote2,10,0,477,25.4,90,0,0,1,255
8/16/2021 5:58:09,mote1,10,0,768.9,25.5,91.5,0,0,5,110
8/16/2021 6:08:46,mote5,11,0,386.6,25.7,89,0,0,7,10
8/16/2021 6:57:27,mote2,13,0,471.8,25.4,90,0,0,7,165
8/16/2021 10:08:54,mote5,43,0,134.4,37.3,50,0,0,1,100
8/16/2021 10:52:58,mote4,12,0,389.2,34.9,58.5,2.54,0,8,40
8/16/2021 10:57:28,mote2,62,0,501.6,32.3,67,0,0,6,130
8/16/2021 12:08:54,mote5,23,0,159.1,39.7,46,0,0,3,190
8/16/2021 12:52:59,mote4,12,0,370.9,32.5,60.5,2.54,0.134112,8,40
8/16/2021 16:53:07,mote4,12,0,406.4,31.6,61.5,2.54,0.134112,8,40
8/16/2021 19:58:12,mote1,12,0,773.3,28.8,76.5,0,0,5,110
8/16/2021 21:58:12,mote1,12,0,800.6,28.1,80,0,0.134112,4,65
8/17/2021 1:58:20,mote1,12,0,774.8,27.5,84,0,0,6,165
8/17/2021 3:58:21,mote1,13,0,764.8,27,85,0,0,5,110
8/17/2021 7:58:14,mote1,17,0,820.6,27.3,84,0,0,5,110
8/17/2021 13:58:22,mote1,183,0,721.6,32.4,71.5,2.54,0.715264,4,65
8/17/2021 15:58:16,mote1,103,0,777.1,30.6,72,2.54,0,7,200
8/17/2021 19:58:24,mote1,10,0,828.8,26.8,86,2.54,0,5,110
8/17/2021 21:58:24,mote1,11,0,758,26.8,86.5,2.54,0,5,110
8/18/2021 1:58:18,mote1,11,0,813.8,26.4,86.5,2.54,0,5,110
8/18/2021 3:58:18,mote1,12,0,751.1,26.3,86.5,2.54,0.134112,5,110
8/18/2021 5:58:33,mote1,13,0,731.2,25.9,89.5,2.54,0,5,110
8/18/2021 7:58:19,mote1,17,0,786.3,25.9,89,2.54,0,5,110
8/18/2021 11:58:27,mote1,87,0,758.5,28.1,82.5,2.54,0,5,110
8/18/2021 17:58:21,mote1,32,0,733.1,28.7,73,2.54,0,5,110
8/18/2021 19:58:21,mote1,12,0,766.8,27.1,78.5,2.54,0,5,110
8/18/2021 23:58:29,mote1,11,0,760.2,26.6,82,2.54,0,5,110
8/19/2021 5:58:23,mote1,11,0,718.5,23.4,95,2.54,0,5,110
8/19/2021 7:58:31,mote1,23,0,700.5,23.9,96.5,7.62,0,5,110
8/19/2021 11:58:25,mote1,124,0,798.7,34.2,59,15.24,0,5,110
8/19/2021 15:58:39,mote1,122,0,769.4,33.9,59,15.24,0,5,110
8/19/2021 17:58:26,mote1,63,0,776.5,30.5,67,15.24,0,5,110
8/19/2021 21:58:34,mote1,13,0,790.2,27.4,80.5,15.24,0,5,110
8/19/2021 23:58:41,mote1,12,0,749.9,27.6,81,15.24,0,5,110
8/20/2021 3:58:35,mote1,11,0,765.5,27,85,15.24,0,5,110
8/20/2021 5:58:35,mote1,12,0,768.6,27,87,15.24,0,5,110
8/20/2021 9:58:29,mote1,30,0,740.4,24.6,95.5,68.58,0.268224,1,290
8/20/2021 11:58:29,mote1,62,0,758.8,25,92.5,83.82,0,5,110
8/20/2021 13:58:44,mote1,101,0,809,27.1,87.5,88.9,0,1,290
8/20/2021 15:58:30,mote1,65,0,771.6,27.1,85,88.9,0,5,110
8/20/2021 19:58:45,mote1,11,0,814.4,25.5,91.5,88.9,0,2,335
8/21/2021 1:58:32,mote1,10,0,784.9,25.3,94.5,88.9,0,5,110
8/21/2021 3:58:47,mote1,12,0,772.8,25.2,94.5,88.9,0,5,110
8/21/2021 7:58:40,mote1,35,0,767.6,26.1,94,88.9,0,5,110
8/21/2021 9:58:41,mote1,102,0,772.2,33.2,67.5,88.9,0,5,110
8/21/2021 13:58:35,mote1,154,0,755,33.6,61.5,88.9,0,5,110
8/21/2021 15:58:35,mote1,112,0,772.3,32.7,64,88.9,0,7,200
8/21/2021 17:58:49,mote1,52,0,776.8,30.4,70.5,88.9,0,0,N/A
8/21/2021 19:58:36,mote1,13,0,800.6,27.9,79.5,88.9,0,5,110
8/21/2021 23:58:44,mote1,11,0,782.5,27.4,84,88.9,0,0,N/A
8/22/2021 1:58:44,mote1,11,0,785.2,27.4,84.5,88.9,0,5,110
8/22/2021 5:58:38,mote1,11,0,767.5,26.7,87.5,88.9,0,6,165
8/22/2021 13:58:46,mote1,53,0,799.3,33.6,60,88.9,0.134112,6,165
8/22/2021 17:58:40,mote1,25,0,757.3,25.4,88.5,96.52,0,6,165
8/22/2021 19:58:41,mote1,11,0,741,25.1,91,96.52,0,6,165
8/22/2021 23:58:48,mote1,11,0,783.7,25.5,91.5,96.52,0,5,110
8/23/2021 5:58:43,mote1,12,0,769.3,25.1,95.5,96.52,0,5,110
8/23/2021 9:58:57,mote1,131,0,800.3,32.3,71,96.52,0,5,110
8/23/2021 11:58:58,mote1,189,0,803.5,38.9,52,96.52,0,5,110
8/23/2021 15:58:52,mote1,120,0,769.9,34,66,96.52,0,5,110
8/23/2021 21:58:46,mote1,10,0,770.4,28,83,96.52,0,5,110
8/23/2021 23:58:46,mote1,10,0,511.9,27.6,85,96.52,0,5,110
